Date,Time,Baseline
8/16/2021,6:00,42233.7
8/16/2021,7:00,43974.84
8/16/2021,8:00,45043.85
8/16/2021,9:00,47058.23
8/16/2021,10:00,50217.82
8/16/2021,11:00,54032.19
8/16/2021,12:00,57630.72
8/16/2021,13:00,60433.52
8/16/2021,14:00,63289.25
8/16/2021,15:00,65363.98
8/16/2021,16:00,66559.16
8/16/2021,17:00,66803.32
8/16/2021,18:00,66046.19
8/16/2021,19:00,64616.87
8/16/2021,20:00,62015.69
8/16/2021,21:00,60302.28
8/16/2021,22:00,57904.22
8/16/2021,23:00,54041.32
8/16/2021,24:00:00,50106.26
8/17/2021,1:00,46978.5
8/17/2021,2:00,44578.64
8/17/2021,3:00,43006.98
8/17/2021,4:00,41931.58
8/17/2021,5:00,41718.1
8/17/2021,6:00,42442.57
8/17/2021,7:00,44208.71
8/17/2021,8:00,45111.17
8/17/2021,9:00,47157.05
8/17/2021,10:00,50273.61
8/17/2021,11:00,54229.91
8/17/2021,12:00,57989.3
8/17/2021,13:00,61197.08
8/17/2021,14:00,64352.27
8/17/2021,15:00,66645.54
8/17/2021,16:00,67832.3
8/17/2021,17:00,68299.14
8/17/2021,18:00,67611.15
8/17/2021,19:00,65823.31
8/17/2021,20:00,63133.02
8/17/2021,21:00,61345.53
8/17/2021,22:00,58917.07
8/17/2021,23:00,54935.36
8/17/2021,24:00:00,51177.38
8/18/2021,1:00,47871.79
8/18/2021,2:00,45396.21
8/18/2021,3:00,43845.46
8/18/2021,4:00,42797.59
8/18/2021,5:00,42470.3
8/18/2021,6:00,43214.85
8/18/2021,7:00,44942.13
8/18/2021,8:00,45851.74
8/18/2021,9:00,47984.82
8/18/2021,10:00,51217.24
8/18/2021,11:00,55150.3
8/18/2021,12:00,58884.35
8/18/2021,13:00,62135.53
8/18/2021,14:00,65223.17
8/18/2021,15:00,67376.25
8/18/2021,16:00,68513.45
8/18/2021,17:00,68947.33
8/18/2021,18:00,68298.33
8/18/2021,19:00,66423.26
8/18/2021,20:00,63719.23
8/18/2021,21:00,61795.84
8/18/2021,22:00,59495.5
8/18/2021,23:00,55525.59
8/18/2021,24:00:00,51584.34
8/19/2021,1:00,48357.29
8/19/2021,2:00,45826.47
8/19/2021,3:00,44179.38
8/19/2021,4:00,43105.77
8/19/2021,5:00,42811.77
8/19/2021,6:00,43532
8/19/2021,7:00,45306.66
8/19/2021,8:00,46135.17
8/19/2021,9:00,48297.86
8/19/2021,10:00,51441.75
8/19/2021,11:00,55493.43
8/19/2021,12:00,59251.17
8/19/2021,13:00,62374.04
8/19/2021,14:00,65388.45
8/19/2021,15:00,67489.75
8/19/2021,16:00,68443.99
8/19/2021,17:00,68962.6
8/19/2021,18:00,68267.23
8/19/2021,19:00,66502.24
8/19/2021,20:00,63808.57
8/19/2021,21:00,62132.88
8/19/2021,22:00,59736.31
8/19/2021,23:00,55660.17
8/19/2021,24:00:00,51723.79
8/20/2021,1:00,48456.51
8/20/2021,2:00,45994.98
8/20/2021,3:00,44356.79
8/20/2021,4:00,43255.32
8/20/2021,5:00,42904.01
8/20/2021,6:00,43543.87
8/20/2021,7:00,45202.07
